City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Labuhan,35,ID,1586555583,85,-6.88,112.21,78.01,3.53
Fairview,90,US,1586555409,39,40.81,-74.0,48.2,23.58
Severo-Kuril'sk,76,RU,1586555583,94,50.68,156.12,31.15,10.96
Cherskiy,100,RU,1586555583,88,68.75,161.3,7.84,24.45
Gizo Government Station,54,SB,1586555583,80,-8.1,156.84,81.86,8.16
Pāvugada,0,IN,1586555584,45,14.1,77.27,77.25,4.54
Huarmey,58,PE,1586555584,64,-10.07,-78.15,79.41,10.09
Saint-Louis,0,SN,1586555584,20,16.33,-15.0,93.2,2.24
Ximeicun,40,CN,1586555584,82,24.96,118.38,66.2,2.24
Murashi,99,RU,1586555585,91,59.4,48.96,31.28,5.93
Christchurch,2,NZ,1586555530,87,-43.53,172.63,60.01,13.87
Tokur,0,RU,1586555537,91,53.13,132.9,21.02,1.95
PEMEX,0,MX,1586555585,38,18.44,-96.35,98.82,10.85
Aloleng,40,PH,1586555585,77,16.13,119.78,79.79,6.04
Viedma,0,AR,1586555585,32,-40.81,-63.0,76.71,19.13
Rocha,11,UY,1586555586,77,-34.48,-54.33,62.83,6.17
Atambua,29,ID,1586555586,77,-9.11,124.89,73.06,2.39
Ulladulla,0,AU,1586555586,63,-35.35,150.47,62.6,9.17
Novobirilyussy,1,RU,1586555586,93,56.95,90.67,30.0,5.86
Piaçabuçu,80,BR,1586555586,76,-10.41,-36.43,81.28,9.57
Flin Flon,90,CA,1586555587,74,54.77,-101.86,33.8,12.75
Kavaratti,0,IN,1586555484,70,10.57,72.64,83.95,6.78
Ternate,2,ID,1586555587,83,0.8,127.4,78.82,5.82
Richards Bay,44,ZA,1586555587,76,-28.78,32.04,72.91,19.01
Ambilobe,15,MG,1586555587,81,-13.2,49.05,74.37,4.85
Menongue,100,AO,1586555588,63,-14.66,17.69,64.49,6.11
Pangnirtung,22,CA,1586555588,86,66.15,-65.71,21.47,3.53
Tabou,19,CI,1586555588,81,4.42,-7.35,81.12,6.17
Deputatsky,82,RU,1586555588,91,69.3,139.9,16.52,8.25
Dunedin,0,NZ,1586555499,78,-45.87,170.5,55.99,7.52
Vestmannaeyjar,100,IS,1586555589,84,63.44,-20.27,44.06,16.58
Kutum,0,SD,1586555404,14,14.2,24.67,71.33,9.82
Kaniama,96,CD,1586555589,75,-7.57,24.18,68.56,3.83
Iwanai,72,JP,1586555589,83,42.97,140.51,35.01,4.43
Tugulym,2,RU,1586555589,64,57.06,64.64,39.2,6.71
Carutapera,58,BR,1586555590,80,-1.2,-46.02,81.57,9.98
Algeciras,2,ES,1586555590,77,36.13,-5.45,62.6,17.22
Mount Gambier,75,AU,1586555590,62,-37.83,140.77,51.8,17.22
Wahiawā,90,US,1586555590,61,21.5,-158.02,82.4,5.82
Maragogi,16,BR,1586555590,76,-9.01,-35.22,81.59,9.33
Chicama,39,PE,1586555591,62,-7.84,-79.15,79.18,10.2
Krasnoborsk,89,RU,1586555591,96,61.56,45.93,27.18,5.5
State College,90,US,1586555403,59,40.79,-77.86,41.0,14.99
Wilmington,1,US,1586555591,20,34.23,-77.94,64.0,18.34
Tecolutla,75,MX,1586555592,55,20.48,-97.02,91.4,11.41
Salalah,40,OM,1586555592,78,17.02,54.09,80.6,4.7
Hay River,90,CA,1586555592,73,60.82,-115.8,21.2,19.46
Gerede,0,TR,1586555592,49,40.8,32.2,32.94,0.67
Algiers,75,DZ,1586555588,87,36.75,3.04,60.8,3.36
Emmett,1,US,1586555584,26,43.87,-116.5,71.6,10.29
Port Hedland,0,AU,1586555593,88,-20.32,118.57,71.6,6.93
Nuuk,97,GL,1586555593,69,64.18,-51.72,35.6,10.29
Los Llanos de Aridane,20,ES,1586555439,77,28.66,-17.92,68.0,5.82
Khovd,100,MN,1586555594,34,48.01,91.64,42.17,3.06
Codrington,46,AU,1586555594,70,-38.27,141.97,53.01,25.66
Oranjemund,0,NA,1586555499,73,-28.55,16.43,59.11,5.97
Zhangjiakou,0,CN,1586555595,46,40.81,114.88,38.91,6.08
Mandalgovi,0,MN,1586555595,38,45.76,106.27,34.99,7.85
Tuatapere,0,NZ,1586555595,95,-46.13,167.68,50.0,3.0
Impfondo,100,CG,1586555595,74,1.64,18.07,75.31,0.83
Talcahuano,36,CL,1586555596,77,-36.72,-73.12,60.8,8.05
Pryazha,93,RU,1586555596,100,61.69,33.62,24.8,2.24
Kennett,1,US,1586555596,26,36.24,-90.06,57.99,4.7
Fairbanks,90,US,1586555319,85,64.84,-147.72,28.0,5.82
Bay Roberts,90,CA,1586555514,93,47.6,-53.26,41.0,12.75
Mareeba,90,AU,1586555597,88,-17.0,145.43,73.4,2.24
Makakilo City,90,US,1586555491,61,21.35,-158.09,82.4,5.82
Butembo,97,CD,1586555597,62,0.15,29.28,59.58,1.99
Winneba,99,GH,1586555598,83,5.35,-0.62,82.4,9.17
Shimoda,98,JP,1586555598,53,34.67,138.95,46.99,1.01
South Kazakhstan Region,100,KZ,1586555598,45,43.0,68.0,49.08,14.47
Boquira,100,BR,1586555598,74,-12.82,-42.73,74.61,1.03
Basco,69,PH,1586555599,76,20.45,121.97,75.49,13.29
Banff,89,CA,1586555599,79,51.18,-115.57,28.99,7.0
Bambous Virieux,75,MU,1586555599,78,-20.34,57.76,79.0,13.87
Jonesboro,1,US,1586555352,30,35.84,-90.7,57.0,5.82
Cedar City,1,US,1586555581,29,37.68,-113.06,62.6,8.55
Derzhavīnsk,85,KZ,1586555600,72,51.1,66.32,40.53,5.23
Karasjok,100,NO,1586555600,73,69.47,25.51,26.6,21.92
Lazarev,1,RU,1586555600,96,52.23,141.51,20.52,7.25
Roald,75,NO,1586555600,86,62.58,6.13,42.01,10.29
Mandera,52,KE,1586555601,14,3.94,41.87,84.0,3.0
Kudahuvadhoo,4,MV,1586555601,66,2.67,72.89,84.06,1.77
Kem',96,RU,1586555601,94,64.96,34.58,27.73,7.47
Aklavik,75,CA,1586555538,41,68.22,-135.01,24.8,10.29
Zaranj,75,AF,1586555601,55,30.97,61.88,62.6,11.41
Tianpeng,40,CN,1586555602,93,30.99,103.94,64.99,4.47
Puerto Gaitán,99,CO,1586555602,77,4.31,-72.08,79.12,12.88
Asău,68,RO,1586555602,45,46.43,26.4,46.4,12.75
Yangi Marg`ilon,100,UZ,1586555602,61,40.43,71.72,50.0,2.24
Matara,0,LK,1586555602,88,5.95,80.54,77.07,5.99
Sistranda,75,NO,1586555603,93,63.73,8.83,37.0,3.36
Margate,53,GB,1586555556,93,51.38,1.39,57.99,1.12
Tazovsky,6,RU,1586555603,92,67.47,78.7,10.36,6.29
Korla,97,CN,1586555603,25,41.76,86.15,54.73,9.24
Myaundzha,37,RU,1586555603,85,63.05,147.19,10.69,1.54
Concepción,42,CL,1586555604,77,-36.83,-73.05,60.8,8.05
Guerrero Negro,14,MX,1586555604,53,27.98,-114.06,66.06,17.9
Birao,87,CF,1586555604,11,10.28,22.79,88.56,4.03
Coyah,20,GN,1586555604,79,9.75,-13.42,84.2,6.93
Bāndarban,0,BD,1586555604,82,22.2,92.23,68.97,2.19
Eruwa,48,NG,1586555605,65,7.53,3.42,80.28,2.66
Leshukonskoye,34,RU,1586555605,96,64.9,45.76,17.83,3.96
Gigmoto,40,PH,1586555605,72,13.78,124.39,81.21,5.32
Tual,87,ID,1586555605,74,-5.67,132.75,83.12,8.41
Biak,1,ID,1586555605,72,-0.91,122.88,79.54,5.82
Ostrovnoy,48,RU,1586555606,94,68.05,39.51,13.32,9.82
Fuerte Olimpo,0,PY,1586555606,35,-21.04,-57.87,80.76,2.24
Zima,87,RU,1586555606,77,53.92,102.04,39.67,5.14
Cap Malheureux,75,MU,1586555606,78,-19.98,57.61,79.0,13.87
Shache,80,CN,1586555606,18,38.42,77.24,57.99,5.12
Nouadhibou,0,MR,1586555607,68,20.93,-17.03,71.6,19.46
Bolekhiv,41,UA,1586555607,59,49.07,23.86,39.67,3.0
Victor Harbor,40,AU,1586555607,59,-35.57,138.62,62.6,17.22
Lenger,100,KZ,1586555608,66,42.18,69.88,48.2,11.18
Dīr,69,PK,1586555608,29,35.21,71.88,52.25,8.1
Bartica,20,GY,1586555608,74,6.4,-58.62,84.2,13.87
Praia da Vitória,20,PT,1586555584,82,38.73,-27.07,62.6,8.12
Yeppoon,30,AU,1586555609,94,-23.13,150.73,69.8,1.97
Marystown,99,CA,1586555609,90,47.17,-55.15,35.29,11.12
Mezen',0,RU,1586555609,94,65.85,44.24,14.83,3.76
Bichena,92,ET,1586555609,33,10.45,38.2,62.91,3.18
Yarensk,98,RU,1586555609,96,62.17,49.09,26.33,7.56
Hohen Neuendorf,0,DE,1586555610,71,52.67,13.28,50.0,5.82
Tiarei,99,PF,1586555610,62,-17.53,-149.33,89.6,12.75
Chifeng,0,CN,1586555610,42,42.27,118.96,40.77,10.2
Gorontalo,7,ID,1586555610,87,0.54,123.06,73.85,3.65
Gambissara,0,SN,1586555610,17,13.24,-14.31,90.57,3.74
Miyako,3,JP,1586555611,79,39.64,141.95,36.57,6.89
Gazojak,0,TM,1586555611,41,41.19,61.4,51.93,2.04
Esik,40,KZ,1586555611,48,43.36,77.45,32.0,4.47
Yabrūd,40,SY,1586555611,81,33.97,36.66,48.2,11.41
Hirara,40,JP,1586555611,82,24.8,125.28,66.2,5.82
Mpongwe,49,ZM,1586555612,65,-13.51,28.16,62.46,6.76
Padang,73,ID,1586555602,77,-0.95,100.35,78.04,2.59
Nyköping,11,SE,1586555612,68,58.75,17.01,33.8,3.36
Buala,4,SB,1586555612,76,-8.14,159.59,82.85,5.93
Chornobay,12,UA,1586555612,60,49.67,32.32,43.09,11.9
Abu Dhabi,100,AE,1586555612,19,24.47,54.37,91.0,2.24
Bako,21,ET,1586555613,56,5.78,36.57,66.81,6.17
Broome,90,US,1586555613,74,42.25,-75.83,39.99,16.11
Cizre,99,TR,1586555613,60,37.33,42.19,54.03,2.73
Rome,90,US,1586555465,65,43.21,-75.46,41.0,16.11
Auchel,0,FR,1586555614,67,50.5,2.47,57.2,10.29
Yar-Sale,39,RU,1586555614,90,66.83,70.83,13.24,9.64
Kuchinarai,88,TH,1586555614,71,16.54,104.05,84.99,4.7
Byron Bay,28,AU,1586555448,89,-28.65,153.62,73.99,4.7
Ambon City,40,ID,1586555539,94,-3.7,128.18,77.0,4.7
Rocky River,90,US,1586555615,45,41.48,-81.84,44.6,14.99
Hailey,5,US,1586555448,31,43.52,-114.32,64.4,11.41
Balakhta,0,RU,1586555615,91,55.38,91.6,24.46,3.91
Kampong Thom,100,KH,1586555426,86,12.71,104.89,78.01,4.59
Springbok,0,ZA,1586555616,30,-29.66,17.89,54.23,1.97
Camacha,20,PT,1586555616,77,33.08,-16.33,66.2,9.17
Shubarkuduk,99,KZ,1586555616,60,49.14,56.49,42.26,6.35
Verkhoyansk,95,RU,1586555616,88,67.54,133.38,24.08,5.3
Sayansk,90,RU,1586555616,77,54.11,102.16,38.66,5.48
Kurayoshi,75,JP,1586555617,86,35.43,133.82,39.2,9.17
Karratha,10,AU,1586555604,62,-20.74,116.85,80.47,8.14
Nemuro,14,JP,1586555617,92,43.32,145.57,30.38,13.33
Neuquén,5,AR,1586555569,42,-38.95,-68.06,80.6,2.24
Isla Mujeres,40,MX,1586555618,58,21.23,-86.73,87.8,18.34
Cocorit,5,MX,1586555618,13,27.58,-109.97,82.4,5.82
Raudeberg,0,NO,1586555618,86,61.99,5.14,42.01,8.05
Gayéri,100,BF,1586555618,27,12.65,0.49,88.83,6.46
Bannu,97,PK,1586555618,47,32.99,70.6,73.44,3.24
Chateaubelair,40,VC,1586555472,78,13.28,-61.25,84.2,1.12
Kalianget,88,ID,1586555619,80,-7.05,113.93,80.31,4.34
Koslan,75,RU,1586555619,95,63.46,48.9,23.07,6.46
Harper,7,LR,1586555619,81,4.38,-7.72,81.5,6.82
Hobyo,90,SO,1586555619,69,5.35,48.53,83.19,13.04
Puerto Madero,5,MX,1586555620,49,14.72,-92.42,93.2,11.41
La Ronge,75,CA,1586555620,54,55.1,-105.28,28.4,21.92
Olinda,40,BR,1586555620,74,-8.01,-34.86,86.0,8.05
Sarangani,2,PH,1586555620,75,5.4,125.46,81.48,18.45
Westport,90,US,1586555535,45,41.14,-73.36,48.2,23.04
San Bartolomé de Tirajana,20,ES,1586555621,68,27.92,-15.57,69.01,17.22
Letlhakane,80,BW,1586555621,47,-21.42,25.58,68.14,9.69
Coyhaique,90,CL,1586555441,62,-45.58,-72.07,51.8,5.82
Baykit,93,RU,1586555621,94,61.67,96.37,25.97,4.41
Kidal,100,ML,1586555621,18,18.44,1.41,88.56,7.45
Fort Nelson,75,CA,1586555622,34,58.81,-122.7,33.8,9.17
Xapuri,11,BR,1586555622,47,-10.65,-68.5,87.84,3.53
Imbituba,40,BR,1586555622,64,-28.24,-48.67,69.8,12.75
Palestine,75,PS,1586555622,82,31.92,35.2,59.0,8.05
Lima,40,PE,1586555578,78,-12.04,-77.03,73.4,5.82
Taoudenni,0,ML,1586555623,11,22.68,-3.98,89.82,7.67
Batemans Bay,16,AU,1586555623,84,-35.72,150.18,55.99,9.35
Denpasar,20,ID,1586555382,100,-8.65,115.22,78.8,2.24
Bilibino,28,RU,1586555623,81,68.05,166.44,-2.79,3.18
Pervomays'k,0,UA,1586555583,54,48.04,30.85,45.01,11.1
Pitimbu,83,BR,1586555623,88,-7.47,-34.81,80.6,5.82
Lüderitz,0,NA,1586555624,82,-26.65,15.16,57.2,4.7
Shingū,14,JP,1586555605,64,33.73,135.98,41.9,6.02
Coxim,32,BR,1586555624,66,-18.51,-54.76,80.15,3.11
Khuzdar,29,PK,1586555624,22,27.74,66.64,71.4,0.87
Aldan,100,RU,1586555625,75,58.6,125.39,31.77,4.07
Vanavara,100,RU,1586555625,90,60.34,102.28,31.24,3.4
São José da Coroa Grande,12,BR,1586555625,76,-8.9,-35.15,82.24,9.44
Kruisfontein,0,ZA,1586555603,65,-34.0,24.73,58.01,2.53
Sembakung,78,ID,1586555626,95,3.82,117.25,72.59,2.01
Dalvik,90,IS,1586555626,82,65.97,-18.53,32.0,4.7
Bulolo,92,PG,1586555626,66,-7.2,146.65,71.28,0.92
Arteaga,17,MX,1586555626,13,18.47,-102.42,92.07,10.42
Bereda,90,ES,1586555626,93,43.27,-7.54,59.0,1.12
Joué-lès-Tours,0,FR,1586555627,55,47.35,0.67,60.8,2.24
Kargasok,0,RU,1586555627,96,59.06,80.86,26.71,7.87
Cockburn Town,0,TC,1586555628,71,21.46,-71.14,78.96,1.79
Lucea,20,JM,1586555494,79,18.45,-78.17,84.99,9.17
Benemérito de las Américas,99,MX,1586555628,26,16.52,-90.64,102.04,4.88
Kansanshi,83,ZM,1586555628,64,-12.1,26.43,59.56,4.23
Durban,53,ZA,1586555491,88,-29.86,31.03,69.8,2.24
Nurota,95,UZ,1586555629,87,40.56,65.69,50.0,6.93
Guasdualito,75,VE,1586555629,62,7.24,-70.73,87.8,3.36
Palmer,90,US,1586555629,56,42.16,-72.33,48.2,24.16
San Rafael del Sur,20,NI,1586555629,37,11.85,-86.44,96.8,4.7
Dauriya,0,RU,1586555630,45,49.93,116.87,37.98,5.23
Khorinsk,0,RU,1586555630,55,52.17,109.77,37.76,1.81
Umba,99,RU,1586555630,93,66.69,34.34,24.67,8.63
Miandrivazo,78,MG,1586555630,63,-19.52,45.47,79.81,3.4
Yining,100,CN,1586555631,85,29.04,114.56,57.49,5.61
Diffa,100,NE,1586555414,12,13.32,12.61,87.3,9.95
Necochea,0,AR,1586555631,62,-38.55,-58.74,63.0,5.99
Kiryat Gat,75,IL,1586555515,82,31.61,34.76,59.0,8.05
Ancud,75,CL,1586555536,87,-41.87,-73.82,55.4,5.82
Selikhino,0,RU,1586555632,92,50.37,137.5,30.06,4.92
Juneau,1,US,1586555577,30,58.3,-134.42,42.8,13.87
Djambala,85,CG,1586555633,73,-2.54,14.75,70.41,1.25
Valparaíso,20,CL,1586555633,72,-33.04,-71.63,64.4,4.7
Medicine Hat,90,CA,1586555634,86,50.05,-110.67,39.99,14.99
Naze,75,JP,1586555634,77,28.37,129.48,62.6,3.36
Solone,68,UA,1586555634,70,48.21,34.87,44.6,11.18
Morgan City,1,US,1586555634,49,29.7,-91.21,73.99,12.75
Gwadar,0,PK,1586555634,68,25.12,62.33,79.54,3.62
Conakry,20,GN,1586555635,79,9.54,-13.68,84.2,6.93
Keetmanshoop,3,NA,1586555635,15,-26.58,18.13,78.8,9.17
Ola,18,RU,1586555635,93,59.58,151.28,17.62,3.56
Chapais,20,CA,1586555635,38,49.78,-74.85,39.2,12.75
Pathein,9,MM,1586555636,92,16.78,94.73,74.93,6.78
Susuman,27,RU,1586555636,86,62.78,148.17,11.88,1.95
Levice,52,SK,1586555636,42,48.22,18.61,46.4,3.58
Nouakchott,0,MR,1586555636,61,18.09,-15.98,77.0,14.99
Qarchak,90,IR,1586555637,87,35.44,51.57,46.4,2.95
Sol'-Iletsk,68,RU,1586555637,62,51.16,54.99,42.44,7.83
Nālūt,93,LY,1586555637,28,30.33,10.85,70.79,15.37
San Matías,1,BO,1586555638,57,-16.37,-58.4,81.59,4.81
Tilichiki,1,RU,1586555536,92,60.47,166.1,5.76,6.4
Tarakan,98,ID,1586555638,85,3.3,117.63,77.4,4.52
São Gabriel da Cachoeira,88,BR,1586555638,90,-0.13,-67.09,79.9,1.39
Laramie,75,US,1586555638,13,41.31,-105.59,66.2,13.87
Krasnoturansk,75,RU,1586555639,92,54.32,91.56,19.4,4.47
Balkanabat,43,TM,1586555603,42,39.51,54.37,56.88,3.91
Russell,1,US,1586555639,22,32.35,-85.2,68.0,12.75
Yulara,0,AU,1586555639,46,-25.24,130.99,53.6,5.82
Vadsø,100,NO,1586555639,73,70.07,29.75,24.8,18.34
Mashpee,75,US,1586555639,39,41.65,-70.48,50.0,25.28
Nabire,9,ID,1586555640,88,-3.37,135.48,75.27,1.97
Stonewall,75,CA,1586555640,47,50.13,-97.33,53.01,12.75
Egvekinot,0,RU,1586555641,84,66.32,-179.17,4.75,3.58
Coxquihui,75,MX,1586555641,55,20.18,-97.58,91.4,11.41
Mehamn,100,NO,1586555641,91,71.04,27.85,25.7,16.17
Bontang,17,ID,1586555560,82,0.13,117.5,78.33,8.84
Makat,14,KZ,1586555642,58,47.65,53.35,44.89,10.22
Port Keats,59,AU,1586555642,89,-14.25,129.55,71.49,13.82
Owando,100,CG,1586555643,84,-0.48,15.9,74.14,3.4
Bambuí,39,BR,1586555643,71,-20.01,-45.98,71.29,4.47
Puerto Escondido,40,MX,1586555643,89,15.85,-97.07,84.2,9.17
Camaçari,40,BR,1586555448,74,-12.7,-38.32,84.2,11.41
Tsiroanomandidy,8,MG,1586555644,63,-18.77,46.03,65.95,3.94
Kumo,92,NG,1586555644,25,10.04,11.21,83.5,5.55
Tartous,40,SY,1586555645,82,34.89,35.89,57.2,4.7
Bridlington,100,GB,1586555645,59,54.08,-0.19,60.8,18.34
Tezu,0,IN,1586555645,33,27.92,96.17,68.14,3.62
Sunndalsøra,93,NO,1586555645,93,62.68,8.55,37.4,9.17
Sobolevo,94,RU,1586555645,72,54.43,31.9,37.26,6.44
Ballina,12,AU,1586555646,86,-28.87,153.57,70.0,4.7
Sovetskaya Gavan',49,RU,1586555646,90,48.97,140.29,28.42,16.96
Syracuse,0,IT,1586555646,81,37.09,15.28,55.0,6.93
Marathon,1,US,1586555330,33,44.9,-89.77,46.99,9.17
Mossamedes,14,AO,1586555601,57,-15.2,12.15,76.06,7.05
